Communicator.F.D,Friend.F.D,Helpful.F.D,Rude.F.D,Communicator.F.R,Friend.F.R,Helpful.F.R,Rude.F.R,Communicator.U.D,Friend.U.D,Helpful.U.D,Rude.U.D,Communicator.U.R,Friend.U.R,Helpful.U.R,Rude.U.R,Age,Gender,Political,Liberal,Conservative
,,,,7,4,64,63,,,,,,,,,23,Man,Democrat,7,1
4,1,50,52,,,,,,,,,,,,,34,Man,Democrat,7,1
,,,,8,1,71,24,,,,,,,,,25,Man,Democrat,7,1
,,,,,,,,8,1,59,71,,,,,25,Man,Republican,1,7
,,,,,,,,,,,,1,3,49,75,27,Woman,Democrat,6,4
,,,,,,,,,,,,1,5,60,62,28,Man,Democrat,7,1
,,,,8,1,45,66,,,,,,,,,30,Man,Democrat,6,3
1,5,79,34,,,,,,,,,,,,,25,Man,Democrat,7,1
,,,,,,,,8,4,49,74,,,,,32,Man,Republican,1,6
,,,,,,,,5,4,54,73,,,,,24,Woman,Democrat,5,3
,,,,8,2,85,43,,,,,,,,,28,Woman,Democrat,6,4